Site identifier,Site,Longitude,Latitude,Lab sample identifier,Material,AMS date on cereal?,14C age BP,1-sigma uncertainty,Age range (BC/AD),Age range lower (BP),Age range upper (BP),Reference,Crops Present,Wheat,Barley,Foxtail millet,Broomcorn millet,Millet (unidentified),Rice,Rice (wild),Echnicloa,Paspalum,Sorghum,Oat,Rye,Buckwheat,Bracharia,Eleusine coracana,Pennesitum
1,4-MSR/Binjore,,,GdA-4273,Wheat,TRUE,3774,25,,,,Liu et al. 2016,,,,,,,,,,,,,,,,,
2,Adam ,79.27,20.99,,,FALSE,,,500 BC—150 AD,2540,1800,Kajale 1994,"Wheat, barley, foxtail millet",TRUE,TRUE,TRUE,,,,,,,,,,,,,
2,Adam ,79.27,20.99,,,FALSE,,,2000—1900 BC,3950,3850,Kajale 1994,Rice wild,,,,,,,TRUE,,,,,,,,,
3,Adichanallur,77.88,8.63,,,FALSE,,,500—100 BC,2450,2050,Kajale 1994,Rice,,,,,,TRUE,,,,,,,,,,
4,Ahar,75.64,27.7,,,FALSE,,,2000 BC—300 AD,3950,1650,Vishnu-Mittre 1969,Rice,,,,,,TRUE,,,,,,,,,,
5,Ahirua Rajarampur,79.5,27.15,,,FALSE,,,1000 BC—100 AD,2950,1850,Chanchala 2006,"Rice, barley, echnicloa, Paspalum",,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,
6,Aiqingya ,,,Beta-344750 ,Wheat,TRUE,3160,30,,,,Chen et al. 2015,Wheat,TRUE,,,,,,,,,,,,,,,
7,Ajiacun ,101.69,36.86,Beta-314717 ,Foxtail Millet,TRUE,3640,30,,,,Chen et al. 2015,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
8,Alandskoe,59.79,52.23,,,FALSE,,,2200—1800 BC,4150,3750,Gadyuchenko 2002,"Wheat, Broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
9,An Son,105.16,10.24,,,FALSE,,,1100—800 BC,3050,2750,Masanari & Dung 2002,Rice,,,,,,TRUE,,,,,,,,,,
10,Anau II,58.5,37.91,Beta-110306,Charcoal,FALSE,4220,80,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
10,Anau II,58.5,37.91,Beta-110307,Charcoal,FALSE,4540,80,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
10,Anau II,58.5,37.91,Beta-110305,Charcoal,FALSE,4410,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
10,Anau II,58.5,37.91,Beta 110308,Charcoal,FALSE,4420,50,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110325,Charcoal,FALSE,4780,80,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110311,Charcoal,FALSE,4450,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110317,Charcoal,FALSE,4930,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110316,Charcoal,FALSE,4950,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110315,Charcoal,FALSE,5010,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110314,Charcoal,FALSE,5070,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110323,Charcoal,FALSE,5130,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110313,Charcoal,FALSE,4910,60,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110318,Charcoal,FALSE,4990,60,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110310,Charcoal,FALSE,5010,60,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
11,Anau IB,58.5,37.91,Beta-110312,Charcoal,FALSE,4910,50,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
12,Anau 1A,58.5,37.91,Beta 110322,Charcoal,FALSE,5340,90,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
12,Anau 1A,58.5,37.91,Beta-110319,Charcoal,FALSE,5160,70,,,,"Miller 2011, Hiebert and Hubert 2011","Wheat, Barley",TRUE,TRUE,,,,,,,,,,,,,,
